"","Handle","LevDistance","LevMatchCount","IntersectionalityScore","DDNADistance","APUScore","SADScore","GrantOwner","IPsSharedRatio","IPsUsedCount","IPsSharedCount","MetaRank_Loki","MetaRank_Thor"
"1","sabbirdotcom",5,0,0,0.25,0.08,0,0,0,1,0,0.644859450451167,0.788196032593044
"2","softmoulding",4,0,4,0.42,0.13,1,0,0,1,0,0.716984097112958,0.85817056574794
"3","kr101133",3,0,4,0.22,0.1,0,0,0,1,0,0.71438050135709,0.855644585989659
"4","nikolaiche1959",6,0,1,0.07,0.1,0,0,0,1,0,0.661581053893656,0.804419147001858
"5","kevanhelii",4,0,3,0,0.26,1,0,0,1,0,0.607140293457447,0.751601324351235
"6","shafiq9646",4,0,2,0.42,0.23,0,0,0,15,0,0.663771411276945,0.806544207469145
"7","ue8442",3,0,4,0.25,0.1,1,0,0,1,0,0.641035540440128,0.784486117463706
"8","zheksonkozhara",7,0,1,0.33,NA,0,0,0,1,0,0.765689962575736,0.754976198946316
"9","tntbuchatska",5,0,3,0,0.16,1,0,0,1,0,0.615601009620888,0.759809817440554
"10","niekvandervoort",3,0,2,0.6,0.1,0,0,0,2,0,0.650704930341203,0.793867252422927
"11","aleksandrovpr",3,0,2,0.29,0.21,1,0,0,1,0,0.628430800033369,0.772257137963292
"12","oodoviichuk",4,0,3,0,0.2,0,0,0,1,0,0.679076751752383,0.821393279237463
"13","alice-cometh",4,0,3,0.22,0.13,1,0,0,3,0,0.613546458275535,0.757816514486739
"14","ibraheemleone",5,0,4,0.47,0.28,1,1,0.06,48,3,0.615956045405779,0.760154269225774
"15","araokaman",3,0,2,0.2,0.18,0,0,0,3,0,0.633123868687202,0.776810301178853
"16","cenkkk789",4,0,2,0.5,0,1,0,0,1,0,0.610768254756606,0.755121132211136
"17","allyhernandez",3,0,4,0.44,0.1,0,1,0,13,0,0.724641617566317,0.86559980725758
"18","milsteinhsh",5,0,4,0.75,NA,1,0,0,1,0,0.773774302005467,0.762819535498298
"19","mccoady",3,0,3,0.75,0.08,0,0,0,24,0,0.605720150317883,0.750223517210355
"20","shashank-kumar",4,0,2,0.18,0.28,0,0,0,23,0,0.628267832787846,0.772099028947126
"21","squeaksme",3,0,4,0.75,0,1,0,0,1,0,0.634877706662838,0.778511855352837
"22","urabyakko",3,0,3,0.33,0.25,0,0,0,2,0,0.707776447740867,0.849237406334525
"23","alextricky",3,0,4,0.43,0.13,1,0,0,3,0,0.627072739654005,0.77093956282857
"24","robiin37",3,0,3,0.36,0.15,1,0,0,1,0,0.654317370950313,0.797372002281287
"25","vlysenkoftw",5,0,3,0.27,0.13,1,0,0,1,0,0.696605431077466,0.83839940972634
"26","rigorously",4,0,3,0.73,0.21,0,0,0,1,0,0.795633253854466,0.93447510630008
"27","vlos1994",2,0,3,0.33,0.15,1,0,0,1,0,0.607219836993953,0.751678496609126
"28","oostafiychuk",4,0,3,0.2,0.15,1,0,0,1,0,0.667752468274739,0.810406584864073
"29","vodov1963",3,0,3,0.27,0.15,1,0,0,1,0,0.643699278869939,0.787070446977953
"30","ldmlvrtnk",4,0,3,0.2,0.18,1,0,0,1,0,0.675181058549863,0.817613720851003
"31","ceresstation",3,0,4,0.75,0.26,0,1,0.1,281,28,0.615073306159192,0.759297845388205
"32","sarrazine",3,0,2,0.71,0.13,1,0,0,1,0,0.6318162505505,0.775541664549135
"33","alecdalelio",4,0,4,0.66,0.39,0,0,0,4,0,0.767585426848078,0.907263415267684
"34","loosepiece",3,0,4,0.33,NA,0,0,0,1,0,0.778252021084857,0.767163768942495
"35","brianzzl",3,0,5,0.24,0.08,0,0,0,4,0,0.654144703273507,0.797204482014158
"36","adamstallard",4,0,3,0.64,0.13,0,0,0,2,0,0.738928412757231,0.879460697674856
"37","sherry-chan-dev",5,0,2,0.44,0,1,0,0,1,0,0.629228175484682,0.773030742792393
"38","vijaybahuguna96",7,0,3,0.36,0.1,0,0,0,13,0,0.689041034764406,0.831060516225938
"39","egullerr",3,0,3,0.46,0.25,0,0,0,16,0,0.659027900380451,0.80194210574858
"40","mettahead",3,0,5,0.64,0.11,0,1,0.38,8,3,0.635671201941638,0.779281695681553
"41","mmatous",2,0,3,0.79,0.29,0,0,0,6,0,0.646006041428602,0.789308442456788
"42","enigmatico77",3,0,3,0.64,0.11,0,0,0,47,0,0.623572824047757,0.767543983481372
"43","abhuta05",3,0,3,0.06,0.21,0,0,0,6,0,0.613920894922988,0.758179788773883
"44","celiainside",4,0,2,0.5,0.13,1,0,0,1,0,0.664394178965197,0.807148409780925
"45","taylanunal",3,0,1,0.67,0.08,0,0,0,1,0,0.647317539737817,0.790580843586891
"46","grasponcrypto",3,0,4,0.35,0.26,0,0,0,4,0,0.713065122875363,0.854368420359171
"47","dozerz",2,0,2,0.33,0.28,0,0,0,1,0,0.673446621436789,0.815930989178944
"48","krvtch",2,0,4,0.32,0.2,0,0,0,4,0,0.658333349500719,0.80126826017968
"49","shobhit4515",3,0,0,0.5,0.2,0,0,0,2,0,0.619475361874589,0.763568671074897
"50","bobbyybutler38",5,0,1,0.33,0.1,1,0,0,1,0,0.624422581827988,0.76836840906567
"51","velvet-shark",5,0,4,0.33,0,0,0,0,1,0,0.755834324394063,0.895862625851954
"52","terelich29",4,0,1,0.38,0.16,0,0,0,7,0,0.637229091205395,0.780793142586099
"53","serayd61",3,0,3,0.1,0.2,0,0,0,3,0,0.64171457062981,0.785144905031066
"54","teyun-beginner",6,0,1,0.31,0.08,1,0,0,1,0,0.619655789896419,0.763743720342795
"55","jsm1121",2,0,4,0.41,0.23,1,0,0,2,0,0.616695218269404,0.760871406549101
"56","noirobscure",4,0,4,0.49,0.13,1,0,0,2,0,0.682085825535803,0.824312649285968
"57","oxide0x",3,0,4,0.71,0.18,0,0,0,2,0,0.74180944084774,0.88225583921066
"58","joz-to",2,0,3,0.5,0.18,0,0,0,3,0,0.6510774269024,0.794228644459879
"59","leonardo24072020",6,0,4,0.5,NA,0,0,0,2,0,0.820765131217734,0.808409517409873
"60","mehedi421",3,0,4,0.54,0.1,0,0,0,10,0,0.656757999460656,0.799739873023402
"61","cagataygoktepe",5,0,2,0.25,0.13,1,0,0,1,0,0.663074920310957,0.805868479650052
"62","thresholdlady",6,0,4,0.69,0.13,1,0,0,1,0,0.757219545981014,0.89720655248937
"63","tosfan4ever",4,0,4,0.67,0,0,1,0,13,0,0.735407156202165,0.876044413575541
"64","cryptoplankto0n",5,0,3,0.2,0,1,0,0,1,0,0.629783040153965,0.773569066347437
"65","emilydrue",4,0,2,0.5,NA,1,1,0,1,0,0.769630277762149,0.758799049087203
"66","macceroni",3,0,3,0.29,0.11,0,0,0,3,0,0.658112179667508,0.801053683657739
"67","lolacreates",4,0,3,0,0.28,1,0,0,1,0,0.608123917189358,0.752555625198813
"68","oktaykurt",3,0,4,0.67,0.34,0,0,0,9,0,0.707334108074445,0.848808253290644
"69","daavii",2,0,5,0.69,0.13,0,1,0,6,0,0.737793462297334,0.878359581312267
"70","jamesjohnbeck",5,0,3,0.52,0.25,0,0,0,6,0,0.741939426626908,0.882381949973554
"71","dearesthaley",4,0,3,0.14,0.2,1,0,0,1,0,0.665253637176709,0.807982246616185
"72","thegaiastack",3,0,4,0.66,0.08,0,1,0.25,8,2,0.611860523318867,0.756180839069491
"73","jigaro8",2,0,2,0.09,0.2,0,0,0,1,0,0.618561581247902,0.762682131234248
"74","iddriss",2,0,3,0.57,0.18,0,0,0,21,0,0.606831819742706,0.751302046570634
"75","mcilginusa",3,0,4,0.42,0.16,1,0,0,3,0,0.636020417467761,0.779620500716196
"76","engakyildiz",5,0,1,0,0.18,0,0,0,1,0,0.637663670526792,0.78121476662921
"77","coinssa",2,0,4,0.52,0.25,0,0,0,7,0,0.661441367683207,0.804283624988001
"78","sofyazemskova",5,0,2,0.26,0,1,0,0,1,0,0.611856643146354,0.756177074569106
"79","luciefabricios",5,0,1,0.15,0.13,1,0,0,1,0,0.613478555256567,0.757750635730002
"80","moitacr22",4,0,4,0.34,0.33,1,0,0,2,0,0.698454333279658,0.840193194159754
"81","prostoxleban",5,0,3,0,0.1,0,0,0,1,0,0.664388358706428,0.807142763030347
"82","oritwoen",3,0,4,0.5,0.1,0,0,0,1,0,0.742034490853463,0.882474180232985
"83","justamomento",4,0,1,0,0.15,0,0,0,1,0,0.609123061611319,0.75352498404793
"84","cameronnili5",4,0,1,0.54,0.11,0,0,0,4,0,0.644822588812299,0.788160269839388
"85","lyricalpolymath",6,0,2,0.68,0.26,0,1,0.03,40,1,0.685997039428373,0.828107265673968
"86","jurassic48",4,0,4,0.56,0.1,1,0,0,5,0,0.634105552332857,0.777762719776238
"87","benjaminsicard",4,0,5,0.16,0.26,0,0,0,1,0,0.792657161537402,0.931587734504846
"88","jen-sei",3,0,4,0.73,0.26,1,0,0,31,0,0.605745371439214,0.750247986462857
"89","pat-planty",4,0,2,0.18,0.11,1,0,0,1,0,0.61997978430121,0.764058056124936
"90","stephenreid321",4,0,5,0.33,0.56,0,1,0,9,0,0.820018198009083,0.95813310896911
"91","arsarawut",3,0,4,0.2,0.11,0,0,0,7,0,0.643580933608308,0.786955629716213
"92","aryan660132",4,0,3,0.02,0.11,0,0,0,8,0,0.614233248810242,0.758482831054869
"93","giraeffleaeffle",7,0,5,0.72,0.13,0,0,0,26,0,0.750233295372312,0.890428569546321
"94","ornellaweb3",4,0,4,0.53,0.11,1,0,0,6,0,0.640075197743292,0.783554403618438
"95","femp13",2,0,3,0.36,0.2,0,0,0,3,0,0.645410434947938,0.788730591647703
"96","beetleblack",4,0,3,0.33,0.1,0,0,0,20,0,0.642267495212837,0.785681346335918
"97","leomarlo",2,0,4,0.69,0.11,0,1,0,30,0,0.687591790330998,0.82965447533217
"98","zoldank",2,0,4,0.29,0.23,0,0,0,6,0,0.646708352653359,0.789989817026459
"99","shojaie-git",3,0,4,0.52,0.25,1,0,0,17,0,0.608671021513617,0.753086419753086
"100","dlttsang",3,0,4,0.15,0.15,1,0,0,1,0,0.646832518173758,0.790110281038776
"101","karmacoma-eth",5,0,4,0.56,0.1,0,1,0.31,16,5,0.649959937218809,0.793144468349022
