Stamp,Coefficient
(Intercept),0
Brightid,346.5
CommunityStakingBronze,28
CommunityStakingGold,54.25
CommunityStakingSilver,369.25
Discord,58.5
Ens,12.5
EthGTEOneTxnProvider,12.5
ethPossessionsGte#1,1010
ethPossessionsGte#10,10010
ethPossessionsGte#32,32010
Facebook,34.5
FacebookProfilePicture,56
FiftyOrMoreGithubFollowers,97.5
FirstEthTxnProvider,12.5
FiveOrMoreGithubRepos,78
ForkedGithubRepoProvider,97.5
GitcoinContributorStatistics#numGr14ContributionsGte#1,1250
GitcoinContributorStatistics#numGrantsContributeToGte#1,12.75
GitcoinContributorStatistics#numGrantsContributeToGte#10,23.625
GitcoinContributorStatistics#numGrantsContributeToGte#100,138.75
GitcoinContributorStatistics#numGrantsContributeToGte#25,42.75
GitcoinContributorStatistics#numRoundsContributedToGte#1,15
GitcoinContributorStatistics#totalContributionAmountGte#10,22.75
GitcoinContributorStatistics#totalContributionAmountGte#100,129.5
GitcoinContributorStatistics#totalContributionAmountGte#1000,1263.75
GitcoinGranteeStatistics#numGrantContributors#10,138.125
GitcoinGranteeStatistics#numGrantContributors#100,1487.5
GitcoinGranteeStatistics#numGrantContributors#25,398.4375
GitcoinGranteeStatistics#numGrantsInEcoAndCauseRound#1,1250
GitcoinGranteeStatistics#numOwnedGrants#1,62.5
GitcoinGranteeStatistics#totalContributionAmount#100,246.4583333
GitcoinGranteeStatistics#totalContributionAmount#1000,2654.166667
GitcoinGranteeStatistics#totalContributionAmount#10000,28437.5
Github,58.5
GitPOAP,147
GnosisSafe,62.5
Google,58.5
gtcPossessionsGte#10,26.25
gtcPossessionsGte#100,251.25
Lens,88
Linkedin,58.5
NFT,62.5
POAP,60
Poh,346.5
SelfStakingBronze,17.33333333
SelfStakingGold,38.75
SelfStakingSilver,246.1666667
SnapshotProposalsProvider,150
SnapshotVotesProvider,120
StarredGithubRepoProvider,97.5
TenOrMoreGithubFollowers,87.75
Twitter,58.5
TwitterFollowerGT100,68.25
TwitterFollowerGT500,78
TwitterFollowerGT5000,97.5
TwitterFollowerGTE1000,87.75
TwitterTweetGT10,78
ZkSync,15
