Stamp,Coefficient
(Intercept),0.0
Brightid,0.0
CommunityStakingBronze,6.0
CommunityStakingGold,10.0
CommunityStakingSilver,8.0
Discord,0.0
Ens,0.0
EthGTEOneTxnProvider,0.0
ethPossessionsGte#1,6.0
ethPossessionsGte#10,8.0
ethPossessionsGte#32,10.0
Facebook,0.0
FacebookProfilePicture,0.0
FiftyOrMoreGithubFollowers,0.0
FirstEthTxnProvider,0.0
FiveOrMoreGithubRepos,0.0
ForkedGithubRepoProvider,0.0
GitcoinContributorStatistics#numGr14ContributionsGte#1,5.0
GitcoinContributorStatistics#numGrantsContributeToGte#1,2.0
GitcoinContributorStatistics#numGrantsContributeToGte#10,5.0
GitcoinContributorStatistics#numGrantsContributeToGte#100,10.0
GitcoinContributorStatistics#numGrantsContributeToGte#25,7.0
GitcoinContributorStatistics#numRoundsContributedToGte#1,5.0
GitcoinContributorStatistics#totalContributionAmountGte#10,6.0
GitcoinContributorStatistics#totalContributionAmountGte#100,8.0
GitcoinContributorStatistics#totalContributionAmountGte#1000,10.0
GitcoinGranteeStatistics#numGrantContributors#10,2.0
GitcoinGranteeStatistics#numGrantContributors#100,10.0
GitcoinGranteeStatistics#numGrantContributors#25,5.0
GitcoinGranteeStatistics#numGrantsInEcoAndCauseRound#1,2.0
GitcoinGranteeStatistics#numOwnedGrants#1,10.0
GitcoinGranteeStatistics#totalContributionAmount#100,1.0
GitcoinGranteeStatistics#totalContributionAmount#1000,5.0
GitcoinGranteeStatistics#totalContributionAmount#10000,10.0
Github,0.0
GitPOAP,10.0
GnosisSafe,0.0
Google,0.0
gtcPossessionsGte#10,5.0
gtcPossessionsGte#100,10.0
Lens,0.0
Linkedin,0.0
NFT,0.0
POAP,0.0
Poh,0.0
SelfStakingBronze,6.0
SelfStakingGold,8.0
SelfStakingSilver,10.0
SnapshotProposalsProvider,0.0
SnapshotVotesProvider,0.0
StarredGithubRepoProvider,0.0
TenOrMoreGithubFollowers,0.0
Twitter,0.0
TwitterFollowerGT100,0.0
TwitterFollowerGT500,0.0
TwitterFollowerGT5000,0.0
TwitterFollowerGTE1000,0.0
TwitterTweetGT10,0.0
ZkSync,0.0
