Stamp,Coefficient
(Intercept),-1.4314705510414205
Brightid,-0.19379743910886116
CommunityStakingBronze,0
CommunityStakingGold,0
CommunityStakingSilver,0
Discord,0
Ens,0.6606074665947742
EthGTEOneTxnProvider,0.04769687634206121
`ethPossessionsGte#1`,0.9628589474056397
`ethPossessionsGte#10`,0
`ethPossessionsGte#32`,0
Facebook,0.31941870515846615
FacebookProfilePicture,0.3810832650480058
FiftyOrMoreGithubFollowers,0
FirstEthTxnProvider,0.46984596965844994
FiveOrMoreGithubRepos,0.9443618839825452
ForkedGithubRepoProvider,0.17564725347806273
`GitcoinContributorStatistics#numGr14ContributionsGte#1`,0.48444797672656725
`GitcoinContributorStatistics#numGrantsContributeToGte#1`,0
`GitcoinContributorStatistics#numGrantsContributeToGte#10`,0
`GitcoinContributorStatistics#numGrantsContributeToGte#100`,0
`GitcoinContributorStatistics#numGrantsContributeToGte#25`,-0.5803587640743522
`GitcoinContributorStatistics#numRoundsContributedToGte#1`,0
`GitcoinContributorStatistics#totalContributionAmountGte#10`,0.3160097669954885
`GitcoinContributorStatistics#totalContributionAmountGte#100`,0
`GitcoinContributorStatistics#totalContributionAmountGte#1000`,0.22792970962721576
`GitcoinGranteeStatistics#numGrantContributors#10`,0
`GitcoinGranteeStatistics#numGrantContributors#100`,0
`GitcoinGranteeStatistics#numGrantContributors#25`,0
`GitcoinGranteeStatistics#numGrantsInEcoAndCauseRound#1`,0
`GitcoinGranteeStatistics#numOwnedGrants#1`,0.6809553728611812
`GitcoinGranteeStatistics#totalContributionAmount#100`,0
`GitcoinGranteeStatistics#totalContributionAmount#1000`,0
`GitcoinGranteeStatistics#totalContributionAmount#10000`,0
Github,0
GitPOAP,0
GnosisSafe,-0.09540958642073688
Google,-0.20402020488054093
`gtcPossessionsGte#10`,0.015399146477162754
`gtcPossessionsGte#100`,0.1275083565724231
Lens,0.7038082797693661
Linkedin,1.0038901950636685
NFT,0.05586751605091948
POAP,0.9291916529776543
Poh,0.6404250423546227
SelfStakingBronze,0
SelfStakingGold,0
SelfStakingSilver,0
SnapshotProposalsProvider,0
SnapshotVotesProvider,0.30508844071533464
StarredGithubRepoProvider,0.6715945285598366
TenOrMoreGithubFollowers,0
Twitter,0.40716414138198825
TwitterFollowerGT100,0.49624073693395765
TwitterFollowerGT500,0.03127447904425806
TwitterFollowerGT5000,0
TwitterFollowerGTE1000,0.449366792301627
TwitterTweetGT10,0.32620246317022517
ZkSync,0
